Manuel,Neri,American,(b. 1930),Posturing Series No. 7,1978,Plaster; wire,Purchase; 79.1450,------------,1
David,Lucero,American,(b. 1957),Angel,1996,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.22,------------,1
Frankie,Lucero,American,(b. 1962),Our Lady of the Immaculate Conception,2000,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.26,------------,1
Frankie,Lucero,American,(b. 1962),Angel,1996,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.27,------------,1
Unknown,------------,Mexico,------------,Seated Figure,First-third century CE,Red and gray glaze on tan clay,Gift of John D. Hoag- 95.04.04,------------,1
Unknown,------------,Tlatilco,------------,Pre-Columbian Figurine,Not dated,Clay,Gift of Hazel E. Barnes and Doris J. Schwalbe- 2011.10.23,------------,1
Unknown,------------,Yorobaland | West Africa,------------,Ibeji [standing female figure],Not dated,Wood,Gift of Brahima Wague- Monrovia Liberia- 77.715,------------,1
Unknown,------------,China,------------,Seated Buddha,Fifth-sixth century CE,Stone,Gift of Mary Tanenbaum in honor of Ann Tanenbaum- 2009.04,------------,1
David,Lucero,American,(b. 1957),Nuestra Senora de los Dolores,Not dated,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.20,------------,1
Gustavo,Goler,American,(b. 1963),San Sebastian,2006,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.15,------------,1
Unknown,------------,Jalisco,------------,Seated Figure,Second-fourth century CE,Terracotta,Purchase- 73.460,------------,1
Jack,Zajac,------------,(b. 1929),Deposition,1960,Bronze,Purchase- 65.321,------------,1
Unknown,------------,Germany,------------,Saint Wolfgang from Regensburg,15th century,Polychrome wood,Purchase with the Carnegie Fund- 62.281,------------,1
Luis,Tapia,American,(b. 1950),La Eva,1997,Polychrome wood,Gift of Mr. and Mrs. Richard Kirk- 2010.07.41,------------,1
Dorothy,Epping,American,(1910-1983),Scrubwoman,c. 1939,Plaster; wire,Gift of Muriel Sibell Wolle- 40.02,------------,1
Unknown,------------,Thailand,------------,Crowned Buddah,16th-17th century CE,Bronze,Gift of Richard and Brenda Bodner- 96.06,------------,1
Unknown,------------,Attica,------------,Late Archaic seated female,c. 475-450 BCE,Hand-painted terracotta,Gift of Hazel E. Barnes and Doris J. Schwalbe- 2011.10.26,------------,1
Unknown,------------,Hellenistic Empire or Roman Empire,------------,Figure of Hermes,Fourth century BCE-fourth century CE,Bronze,Gift of Hazel E. Barnes and Doris J. Schwalbe- 2011.10.18,------------,1
Unknown,------------,Greece or Italy,------------,Draped marble statue fragmeny,Not dated,Marble,Gift of Hazel E. Barnes and Doris J. Schwalbe- 2011.10.24,------------,1
Unknown,------------,Boeotia,------------,Figurine,600-550 BCE,Slip-glazed ceramic,Gift of Hazel E. Barnes and Doris J. Schwalbe- 2011.10.14,------------,1
Unknown,------------,China | Burma,------------,Storage Jar,10th millenium - 21st century BCE; Neolithic Period,Earthenware,Gift of Warren and Shirley King- 2012.12.113,------------,1
Unknown,------------,China,------------,Vessel,c. 10000 - c. 2100 BCE; Neolithic Period,Incised earthernware,Gift of Warren and Shirley King- 2012.12.185,------------,1
Unknown,------------,China,------------,Bowl,c. 10000 - c. 2100 BCE; Neolithic Period,Incised earthernware,Gift of Warren and Shirley King- 2012.12.184,------------,1
Unknown,------------,China,------------,Tripod vessel,Fifth millenium-20th century BCE; Neolithic Period | Dawenkou Period | Longshan Period,Earthenware,Gift of Warren and Shirley King- 2012.12.195,------------,1
Unknown,------------,China,------------,Tripod vessel,16th-11th century BCE; Shang Dynasty,Earthenware,Gift of Warren and Shirley King- 2012.12.193,------------,1
Unknown,------------,China,------------,Handled vessel,25th century-20th century BCE; Late Neolithic Period | Late Majiayao Period | Machang Culture,Slip-painted earthenware,Gift of Warren and Shirley King- 2012.12.180,------------,1
Unknown,------------,China | Burma,------------,Cup,10th millenium - 21st century BCE; Neolithic Period,Earthenware,Gift of Warren and Shirley King- 2012.12.136,------------,1
Unknown,------------,China,------------,Jar,22nd century-20th century BCE; Machang Culture,Hand-painted earthenware,Gift of Warren and Shirley King- 2012.12.179,------------,1
Unknown,------------,China,------------,Bi (Perforated Disk),10th millenium - 21st century BCE; Neolithic Period | Liangzhu Culture,Jade,Gift of Warren and Shirley King- 2012.12.158,Perforated jade disks called bi have been discovered in many Neolithic burials. Placed at intervals around the body the original function of bi is still unknown. Historical texts describe the circular shape of the bi as symbolic of heaven indicating the ritual significance of these objects.,1
Unknown,------------,China,------------,Mirror,Third century BCE-Third century CE; Han Dynasty,Bronze,Gift of Warren and Shirley King- 2012.12.170,------------,1
Unknown,------------,China,------------,Mirror,Seventh-10th century CE; Tang Dynasty,Bronze,Gift of Warren and Shirley King- 2012.12.40,------------,1
Unknown,------------,China,------------,Waterfowl,Third century BCE-Third century CE; Han Dynasty,Hand-painted earthenware,Gift of Warren and Shirley King- 2012.12.55,------------,1
Unknown,------------,China,------------,Chicken,First-Third century CE; Eastern Han Dynasty,Glazed earthenware,Gift of Warren and Shirley King- 2012.12.44,------------,1
Unknown,------------,China,------------,Ox,Third century BCE-Third century CE; Han Dynasty,Earthenware,Gift of Warren and Shirley King- 2012.12.19,------------,1
Unknown,------------,China,------------,Hill Jar,First-Third century CE; Eastern Han Dynasty,Glazed earthenware,Gift of Warren and Shirley King- 2012.12.07,Hill jars (zun) take their name from the mountain-shaped lid topping their cylindrical body. The swirling peaks and cavorting creatures that decorate the lid evoke the mystical domain inhabited by Daoist immortals a realm to which the deceased might ascend. In the Daoist tradition immortality was an achievement that could be attained through ritual practices. The drum like shape of the vessel's body derives from wine warmers and the greenish glaze mimics bronze when oxidized. The design of the lid is related to incense burners which similarly featured mountainous landscapes. These two vessel types are combined in hill jars creating a vessel that served a specifically funerary function.",1
Unknown,------------,China,------------,Dog,First-Third century CE; Eastern Han Dynasty,Glazed earthenware,Gift of Warren and Shirley King- 2012.12.078,------------,1
Unknown,------------,China,------------,Zodiacal Figurines,Seventh-eighth century CE; Tang Dynasty,Earthenware with slip and paint,Gift of Warren and Shirley King- 2012.12.28.01-.07,The twelve animals of the zodiac correspond to the twelve year cycle of the Chinese calendar. Known by the term sheng xiao (birth likeness) zodiac animals confer certain personality traits on persons born in each year. While the purpose of zodiac animals in a funerary context is not entirely clear some scholars believe their precense ensures an orderly cycle of time in the afterlife. With their heads held high and these robed figures appear conscious of having an important role.",1
Unknown,------------,China,------------,Figurine,Third century BCE-Third century CE; Han Dynasty,Hand-painted earthenware,Gift of Warren and Shirley King- 2012.12.15,------------,1
Unknown,------------,China,------------,Civilian Attendant,Third century BCE-First century CE; Western Han Dynasty,Hand-painted earthenware,Gift of Warren and Shirley King- 2012.12.14.01,------------,1
Unknown,------------,China,------------,Bottle (Cocoon Jar),Third century BCE-Third century CE; Han Dynasty,Hand-painted earthenware,Gift of Warren and Shirley King- 2012.12.23,------------,1
Unknown,------------,China,------------,Jar,10th-13th century; Song Dynasty,Glazed stoneware,Gift of Warren and Shirley King- 2012.12.66,------------,1
Unknown,------------,China,------------,Ewer,10th-13th century; Song Dynasty,Qingbai Ware (glazed porcelain),Gift of Warren and Shirley King- 2012.12.68,------------,1
